Date,Zip Code,Pickup Location,Number of Trips Booked
2024/01/02,700016,Park Street,28
2024/01/02,700019,Ballygunge,9
2024/01/02,700020,A.J.C. Bose Road,21
2024/01/02,700022,Hastings,11
2024/01/02,700025,Bhawanipore,18
2024/01/02,700026,Kalighat,18
2024/01/02,700027,Alipore,10
2024/01/02,700029,Dover Lane,11
2024/01/02,700031,Dhakuria,8
2024/01/02,700032,Bijoygarh,14
2024/01/02,700033,Indrani Park,15
2024/01/02,700034,Behala,14
2024/01/02,700042,Kasba,19
2024/01/02,700044,Badartala,7
2024/01/02,700046,Abinash Chaowdhury Lane,10
2024/01/02,700047,Ganguly Bagan,9
2024/01/02,700053,Kalabagan,10
2024/01/02,700054,Bengal Chemical,18
2024/01/02,700061,Jairampur,15
2024/01/02,700066,Bidhangarh,7
2024/01/02,700068,Jodhpur Park,11
2024/01/02,700069,Great Eastern Hotel,16
2024/01/02,700073,Colootola,19
2024/01/02,700075,Garfa,21
2024/01/02,700078,Haltu,9
2024/01/02,700082,Haridevpur,8
2024/01/02,700085,K.G. Bose Sarani,19
2024/01/02,700086,Baghajatin,10
2024/01/02,700088,Brace Bridge,16
2024/01/02,700095,Golf Green,15
2024/01/02,700099,Kalikapur,15
2024/01/02,700107,E.K.T,14
2024/01/02,700141,Daulatpur,12
2024/01/02,700008,Barisha,10
2024/01/02,700010,Beleghata,18
2024/01/02,700012,Bowbazar,21
2024/01/02,700015,Entally,16
2024/01/02,700017,Kidderpore,11
2024/01/02,700018,Bartala,17
2024/01/02,700021,Fort William,26
2024/01/02,700024,Garden Reach,13
2024/01/02,700072,Hindustan Building,29
2024/01/02,700135,Rajarhat,14
2024/01/02,700136,New Town,19
2024/01/02,700023,Khiddirpore,6
2024/01/02,700091,Salt Lake Sector I,18
2024/01/02,700098,Bidhan Nagar,15
2024/01/02,700105,Kankurgachi,15
2024/01/02,700106,Phool Bagan,13
2024/01/02,700108,Shyambazar,34
2024/01/02,700109,Bagbazar,11
2024/01/03,700001,B.B.D. Bagh,19
2024/01/03,700007,Esplanade,27
2024/01/03,700013,Chittaranjan Avenue,23
2024/01/03,700014,Bhowanipore,9
2024/01/03,700016,Park Street,19
2024/01/03,700019,Ballygunge,11
2024/01/03,700020,A.J.C. Bose Road,26
2024/01/03,700022,Hastings,7
2024/01/03,700025,Bhawanipore,10
2024/01/03,700026,Kalighat,19
2024/01/03,700027,Alipore,8
2024/01/03,700029,Dover Lane,19
2024/01/03,700031,Dhakuria,11
2024/01/03,700032,Bijoygarh,8
2024/01/03,700033,Indrani Park,20
2024/01/03,700034,Behala,19
2024/01/03,700042,Kasba,12
2024/01/03,700044,Badartala,10
2024/01/03,700046,Abinash Chaowdhury Lane,7
2024/01/03,700047,Ganguly Bagan,8
2024/01/03,700053,Kalabagan,12
2024/01/03,700054,Bengal Chemical,16
2024/01/03,700061,Jairampur,13
2024/01/03,700066,Bidhangarh,13
2024/01/03,700068,Jodhpur Park,14
2024/01/03,700069,Great Eastern Hotel,23
2024/01/03,700073,Colootola,24
2024/01/03,700075,Garfa,18
2024/01/03,700078,Haltu,10
2024/01/03,700082,Haridevpur,10
2024/01/03,700085,K.G. Bose Sarani,11
2024/01/03,700086,Baghajatin,14
2024/01/03,700088,Brace Bridge,13
2024/01/03,700095,Golf Green,11
2024/01/03,700099,Kalikapur,7
2024/01/03,700107,E.K.T,12
2024/01/03,700141,Daulatpur,15
2024/01/03,700008,Barisha,8
2024/01/03,700010,Beleghata,14
2024/01/03,700012,Bowbazar,18
2024/01/03,700015,Entally,19
2024/01/03,700017,Kidderpore,11
2024/01/03,700018,Bartala,11
2024/01/03,700021,Fort William,32
2024/01/03,700024,Garden Reach,10
2024/01/03,700072,Hindustan Building,23
2024/01/03,700135,Rajarhat,20
2024/01/03,700136,New Town,14
2024/01/03,700023,Khiddirpore,9
2024/01/03,700091,Salt Lake Sector I,17
2024/01/03,700098,Bidhan Nagar,13
2024/01/03,700105,Kankurgachi,11
2024/01/03,700106,Phool Bagan,14
2024/01/03,700108,Shyambazar,26
2024/01/03,700109,Bagbazar,17
2024/01/04,700001,B.B.D. Bagh,31
2024/01/04,700007,Esplanade,24
2024/01/04,700013,Chittaranjan Avenue,17
2024/01/04,700014,Bhowanipore,15
2024/01/04,700016,Park Street,17
2024/01/04,700019,Ballygunge,19
2024/01/04,700020,A.J.C. Bose Road,23
2024/01/04,700022,Hastings,17
2024/01/04,700025,Bhawanipore,12
2024/01/04,700026,Kalighat,23
2024/01/04,700027,Alipore,12
2024/01/04,700029,Dover Lane,17
2024/01/04,700031,Dhakuria,8
2024/01/04,700032,Bijoygarh,15
2024/01/04,700033,Indrani Park,14
2024/01/04,700034,Behala,12
2024/01/04,700042,Kasba,12
2024/01/04,700044,Badartala,13
2024/01/04,700046,Abinash Chaowdhury Lane,13
2024/01/04,700047,Ganguly Bagan,16
2024/01/04,700053,Kalabagan,19
2024/01/04,700054,Bengal Chemical,17
2024/01/04,700061,Jairampur,20
2024/01/04,700066,Bidhangarh,10
2024/01/04,700068,Jodhpur Park,11
2024/01/04,700069,Great Eastern Hotel,30
2024/01/04,700073,Colootola,27
2024/01/04,700075,Garfa,18
2024/01/04,700078,Haltu,9
2024/01/04,700082,Haridevpur,14
2024/01/04,700085,K.G. Bose Sarani,15
2024/01/04,700086,Baghajatin,3
2024/01/04,700088,Brace Bridge,11
2024/01/04,700095,Golf Green,19
2024/01/04,700099,Kalikapur,13
2024/01/04,700107,E.K.T,10
2024/01/04,700141,Daulatpur,7
2024/01/04,700008,Barisha,15
2024/01/04,700010,Beleghata,18
2024/01/04,700012,Bowbazar,24
2024/01/04,700015,Entally,14
2024/01/04,700017,Kidderpore,13
2024/01/04,700018,Bartala,15
2024/01/04,700021,Fort William,22
2024/01/04,700024,Garden Reach,9
2024/01/04,700072,Hindustan Building,20
2024/01/04,700135,Rajarhat,17
2024/01/04,700136,New Town,16
2024/01/04,700023,Khiddirpore,6
2024/01/04,700091,Salt Lake Sector I,19
2024/01/04,700098,Bidhan Nagar,18
2024/01/04,700105,Kankurgachi,16
2024/01/04,700106,Phool Bagan,13
2024/01/04,700108,Shyambazar,26
2024/01/04,700109,Bagbazar,9
2024/01/05,700001,B.B.D. Bagh,22
2024/01/05,700007,Esplanade,22
2024/01/05,700013,Chittaranjan Avenue,30
2024/01/05,700014,Bhowanipore,10
2024/01/05,700016,Park Street,23
2024/01/05,700019,Ballygunge,10
2024/01/05,700020,A.J.C. Bose Road,23
2024/01/05,700022,Hastings,23
2024/01/05,700025,Bhawanipore,15
2024/01/05,700026,Kalighat,10
2024/01/05,700027,Alipore,14
2024/01/05,700029,Dover Lane,16
2024/01/05,700031,Dhakuria,8
2024/01/05,700032,Bijoygarh,13
2024/01/05,700033,Indrani Park,10
2024/01/05,700034,Behala,11
2024/01/05,700042,Kasba,14
2024/01/05,700044,Badartala,10
2024/01/05,700046,Abinash Chaowdhury Lane,11
2024/01/05,700047,Ganguly Bagan,22
2024/01/05,700053,Kalabagan,14
2024/01/05,700054,Bengal Chemical,16
2024/01/05,700061,Jairampur,20
2024/01/05,700066,Bidhangarh,10
2024/01/05,700068,Jodhpur Park,15
2024/01/05,700069,Great Eastern Hotel,28
2024/01/05,700073,Colootola,21
2024/01/05,700075,Garfa,12
2024/01/05,700078,Haltu,10
2024/01/05,700082,Haridevpur,16
2024/01/05,700085,K.G. Bose Sarani,16
2024/01/05,700086,Baghajatin,14
2024/01/05,700088,Brace Bridge,9
2024/01/05,700095,Golf Green,7
2024/01/05,700099,Kalikapur,13
2024/01/05,700107,E.K.T,10
2024/01/05,700141,Daulatpur,11
2024/01/05,700008,Barisha,6
2024/01/05,700010,Beleghata,15
2024/01/05,700012,Bowbazar,22
2024/01/05,700015,Entally,15
2024/01/05,700017,Kidderpore,7
2024/01/05,700018,Bartala,12
2024/01/05,700021,Fort William,18
2024/01/05,700024,Garden Reach,16
2024/01/05,700072,Hindustan Building,24
2024/01/05,700135,Rajarhat,29
2024/01/05,700136,New Town,18
2024/01/05,700023,Khiddirpore,12
2024/01/05,700091,Salt Lake Sector I,19
2024/01/05,700098,Bidhan Nagar,22
2024/01/05,700105,Kankurgachi,8
2024/01/05,700106,Phool Bagan,11
2024/01/05,700108,Shyambazar,22
2024/01/05,700109,Bagbazar,10
2024/01/06,700001,B.B.D. Bagh,14
2024/01/06,700007,Esplanade,15
2024/01/06,700013,Chittaranjan Avenue,22
2024/01/06,700014,Bhowanipore,3
2024/01/06,700016,Park Street,13
2024/01/06,700019,Ballygunge,13
2024/01/06,700020,A.J.C. Bose Road,16
2024/01/06,700022,Hastings,8
2024/01/06,700025,Bhawanipore,11
2024/01/06,700026,Kalighat,20
2024/01/06,700027,Alipore,11
2024/01/06,700029,Dover Lane,16
2024/01/06,700031,Dhakuria,7
2024/01/06,700032,Bijoygarh,12
2024/01/06,700033,Indrani Park,12
2024/01/06,700034,Behala,12
2024/01/06,700042,Kasba,20
2024/01/06,700044,Badartala,14
2024/01/06,700046,Abinash Chaowdhury Lane,13
2024/01/06,700047,Ganguly Bagan,6
2024/01/06,700053,Kalabagan,16
2024/01/06,700054,Bengal Chemical,19
2024/01/06,700061,Jairampur,17
2024/01/06,700066,Bidhangarh,10
2024/01/06,700068,Jodhpur Park,12
2024/01/06,700069,Great Eastern Hotel,23
2024/01/06,700073,Colootola,13
2024/01/06,700075,Garfa,9
2024/01/06,700078,Haltu,5
2024/01/06,700082,Haridevpur,15
2024/01/06,700085,K.G. Bose Sarani,11
2024/01/06,700086,Baghajatin,13
2024/01/06,700088,Brace Bridge,17
2024/01/06,700095,Golf Green,7
2024/01/06,700099,Kalikapur,11
2024/01/06,700107,E.K.T,9
2024/01/06,700141,Daulatpur,10
2024/01/06,700008,Barisha,9
2024/01/06,700010,Beleghata,15
2024/01/06,700012,Bowbazar,22
2024/01/06,700015,Entally,17
2024/01/06,700017,Kidderpore,10
2024/01/06,700018,Bartala,9
2024/01/06,700021,Fort William,14
2024/01/06,700024,Garden Reach,10
2024/01/06,700072,Hindustan Building,20
2024/01/06,700135,Rajarhat,20
2024/01/06,700136,New Town,17
2024/01/06,700023,Khiddirpore,12
2024/01/06,700091,Salt Lake Sector I,12
2024/01/06,700098,Bidhan Nagar,11
2024/01/06,700105,Kankurgachi,11
2024/01/06,700106,Phool Bagan,10
2024/01/06,700108,Shyambazar,23
2024/01/06,700109,Bagbazar,12
2024/01/07,700001,B.B.D. Bagh,19
2024/01/07,700007,Esplanade,22
2024/01/07,700013,Chittaranjan Avenue,23
2024/01/07,700014,Bhowanipore,13
2024/01/07,700016,Park Street,7
2024/01/07,700019,Ballygunge,5
2024/01/07,700020,A.J.C. Bose Road,17
2024/01/07,700022,Hastings,12
2024/01/07,700025,Bhawanipore,13
2024/01/07,700026,Kalighat,12
2024/01/07,700027,Alipore,4
2024/01/07,700029,Dover Lane,6
2024/01/07,700031,Dhakuria,10
2024/01/07,700032,Bijoygarh,10
2024/01/07,700033,Indrani Park,9
2024/01/07,700034,Behala,7
2024/01/07,700042,Kasba,13
2024/01/07,700044,Badartala,11
2024/01/07,700046,Abinash Chaowdhury Lane,10
2024/01/07,700047,Ganguly Bagan,14
2024/01/07,700053,Kalabagan,5
2024/01/07,700054,Bengal Chemical,19
2024/01/07,700061,Jairampur,9
2024/01/07,700066,Bidhangarh,10
2024/01/07,700068,Jodhpur Park,8
2024/01/07,700069,Great Eastern Hotel,15
2024/01/07,700073,Colootola,13
2024/01/07,700075,Garfa,9
2024/01/07,700078,Haltu,3
2024/01/07,700082,Haridevpur,9
2024/01/07,700085,K.G. Bose Sarani,6
2024/01/07,700086,Baghajatin,4
2024/01/07,700088,Brace Bridge,4
2024/01/07,700095,Golf Green,6
2024/01/07,700099,Kalikapur,6
2024/01/07,700107,E.K.T,14
2024/01/07,700141,Daulatpur,4
2024/01/07,700008,Barisha,4
2024/01/07,700010,Beleghata,12
2024/01/07,700012,Bowbazar,17
2024/01/07,700015,Entally,19
2024/01/07,700017,Kidderpore,7
2024/01/07,700018,Bartala,10
2024/01/07,700021,Fort William,20
2024/01/07,700024,Garden Reach,5
2024/01/07,700072,Hindustan Building,22
2024/01/07,700135,Rajarhat,23
2024/01/07,700136,New Town,12
2024/01/07,700023,Khiddirpore,10
2024/01/07,700091,Salt Lake Sector I,24
2024/01/07,700098,Bidhan Nagar,8
2024/01/07,700105,Kankurgachi,10
2024/01/07,700106,Phool Bagan,3
2024/01/07,700108,Shyambazar,17
2024/01/07,700109,Bagbazar,10
2024/01/08,700001,B.B.D. Bagh,24
2024/01/08,700007,Esplanade,19
2024/01/08,700013,Chittaranjan Avenue,20
2024/01/08,700014,Bhowanipore,15
2024/01/08,700016,Park Street,16
2024/01/08,700019,Ballygunge,19
2024/01/08,700020,A.J.C. Bose Road,22
2024/01/08,700022,Hastings,8
2024/01/08,700025,Bhawanipore,15
2024/01/08,700026,Kalighat,14
2024/01/08,700027,Alipore,12
2024/01/08,700029,Dover Lane,12
2024/01/08,700031,Dhakuria,6
2024/01/08,700032,Bijoygarh,7
2024/01/08,700033,Indrani Park,12
2024/01/08,700034,Behala,18
2024/01/08,700042,Kasba,14
2024/01/08,700044,Badartala,15
2024/01/08,700046,Abinash Chaowdhury Lane,20
2024/01/08,700047,Ganguly Bagan,11
2024/01/08,700053,Kalabagan,9
2024/01/08,700054,Bengal Chemical,21
2024/01/08,700061,Jairampur,9
2024/01/08,700066,Bidhangarh,15
2024/01/08,700068,Jodhpur Park,15
2024/01/08,700069,Great Eastern Hotel,23
2024/01/08,700073,Colootola,22
2024/01/08,700075,Garfa,13
2024/01/08,700078,Haltu,13
2024/01/08,700082,Haridevpur,12
2024/01/08,700085,K.G. Bose Sarani,14
2024/01/08,700086,Baghajatin,12
2024/01/08,700088,Brace Bridge,12
2024/01/08,700095,Golf Green,11
2024/01/08,700099,Kalikapur,10
2024/01/08,700107,E.K.T,15
2024/01/08,700141,Daulatpur,9
2024/01/08,700008,Barisha,18
2024/01/08,700010,Beleghata,21
2024/01/08,700012,Bowbazar,24
2024/01/08,700015,Entally,27
2024/01/08,700017,Kidderpore,9
2024/01/08,700018,Bartala,18
2024/01/08,700021,Fort William,23
2024/01/08,700024,Garden Reach,14
2024/01/08,700072,Hindustan Building,28
2024/01/08,700135,Rajarhat,19
2024/01/08,700136,New Town,16
2024/01/08,700023,Khiddirpore,10
2024/01/08,700091,Salt Lake Sector I,24
2024/01/08,700098,Bidhan Nagar,12
2024/01/08,700105,Kankurgachi,13
2024/01/08,700106,Phool Bagan,17
2024/01/08,700108,Shyambazar,30
2024/01/08,700109,Bagbazar,10
2024/01/09,700001,B.B.D. Bagh,20
2024/01/09,700007,Esplanade,26
2024/01/09,700013,Chittaranjan Avenue,25
2024/01/09,700014,Bhowanipore,17
2024/01/09,700016,Park Street,27
2024/01/09,700019,Ballygunge,15
2024/01/09,700020,A.J.C. Bose Road,22
2024/01/09,700022,Hastings,14
2024/01/09,700025,Bhawanipore,11
2024/01/09,700026,Kalighat,15
2024/01/09,700027,Alipore,5
2024/01/09,700029,Dover Lane,12
2024/01/09,700031,Dhakuria,10
2024/01/09,700032,Bijoygarh,12
2024/01/09,700033,Indrani Park,12
2024/01/09,700034,Behala,8
2024/01/09,700042,Kasba,18
2024/01/09,700044,Badartala,16
2024/01/09,700046,Abinash Chaowdhury Lane,8
2024/01/09,700047,Ganguly Bagan,11
2024/01/09,700053,Kalabagan,12
2024/01/09,700054,Bengal Chemical,22
2024/01/09,700061,Jairampur,13
2024/01/09,700066,Bidhangarh,13
2024/01/09,700068,Jodhpur Park,11
2024/01/09,700069,Great Eastern Hotel,18
2024/01/09,700073,Colootola,21
2024/01/09,700075,Garfa,14
2024/01/09,700078,Haltu,12
2024/01/09,700082,Haridevpur,7
2024/01/09,700085,K.G. Bose Sarani,11
2024/01/09,700086,Baghajatin,9
2024/01/09,700088,Brace Bridge,10
2024/01/09,700095,Golf Green,10
2024/01/09,700099,Kalikapur,12
2024/01/09,700107,E.K.T,18
2024/01/09,700141,Daulatpur,19
2024/01/09,700008,Barisha,10
2024/01/09,700010,Beleghata,14
2024/01/09,700012,Bowbazar,33
2024/01/09,700015,Entally,17
2024/01/09,700017,Kidderpore,11
2024/01/09,700018,Bartala,15
2024/01/09,700021,Fort William,28
2024/01/09,700024,Garden Reach,10
2024/01/09,700072,Hindustan Building,18
2024/01/09,700135,Rajarhat,19
2024/01/09,700136,New Town,11
2024/01/09,700023,Khiddirpore,11
2024/01/09,700091,Salt Lake Sector I,17
2024/01/09,700098,Bidhan Nagar,20
2024/01/09,700105,Kankurgachi,5
2024/01/09,700106,Phool Bagan,11
2024/01/09,700108,Shyambazar,17
2024/01/09,700109,Bagbazar,15
2024/01/10,700001,B.B.D. Bagh,30
2024/01/10,700007,Esplanade,25
2024/01/10,700013,Chittaranjan Avenue,27
2024/01/10,700014,Bhowanipore,10
2024/01/10,700016,Park Street,21
2024/01/10,700019,Ballygunge,14
2024/01/10,700020,A.J.C. Bose Road,19
2024/01/10,700022,Hastings,14
2024/01/10,700025,Bhawanipore,8
2024/01/10,700026,Kalighat,12
2024/01/10,700027,Alipore,9
2024/01/10,700029,Dover Lane,6
2024/01/10,700031,Dhakuria,17
2024/01/10,700032,Bijoygarh,13
2024/01/10,700033,Indrani Park,10
2024/01/10,700034,Behala,16
2024/01/10,700042,Kasba,7
2024/01/10,700044,Badartala,12
2024/01/10,700046,Abinash Chaowdhury Lane,14
2024/01/10,700047,Ganguly Bagan,11
2024/01/10,700053,Kalabagan,8
2024/01/10,700054,Bengal Chemical,16
2024/01/10,700061,Jairampur,11
2024/01/10,700066,Bidhangarh,10
2024/01/10,700068,Jodhpur Park,19
2024/01/10,700069,Great Eastern Hotel,27
2024/01/10,700073,Colootola,26
2024/01/10,700075,Garfa,6
2024/01/10,700078,Haltu,9
2024/01/10,700082,Haridevpur,10
2024/01/10,700085,K.G. Bose Sarani,14
2024/01/10,700086,Baghajatin,10
2024/01/10,700088,Brace Bridge,6
2024/01/10,700095,Golf Green,17
2024/01/10,700099,Kalikapur,15
2024/01/10,700107,E.K.T,7
2024/01/10,700141,Daulatpur,10
2024/01/10,700008,Barisha,5
2024/01/10,700010,Beleghata,35
2024/01/10,700012,Bowbazar,25
2024/01/10,700015,Entally,19
2024/01/10,700017,Kidderpore,14
2024/01/10,700018,Bartala,10
2024/01/10,700021,Fort William,18
2024/01/10,700024,Garden Reach,6
2024/01/10,700072,Hindustan Building,16
2024/01/10,700135,Rajarhat,27
2024/01/10,700136,New Town,18
2024/01/10,700023,Khiddirpore,21
2024/01/10,700091,Salt Lake Sector I,18
2024/01/10,700098,Bidhan Nagar,19
2024/01/10,700105,Kankurgachi,13
2024/01/10,700106,Phool Bagan,18
2024/01/10,700108,Shyambazar,24
2024/01/10,700109,Bagbazar,9
2024/01/11,700001,B.B.D. Bagh,26
2024/01/11,700007,Esplanade,34
2024/01/11,700013,Chittaranjan Avenue,27
2024/01/11,700014,Bhowanipore,6
2024/01/11,700016,Park Street,17
2024/01/11,700019,Ballygunge,16
2024/01/11,700020,A.J.C. Bose Road,28
2024/01/11,700022,Hastings,12
2024/01/11,700025,Bhawanipore,20
2024/01/11,700026,Kalighat,27
2024/01/11,700027,Alipore,11
2024/01/11,700029,Dover Lane,14
2024/01/11,700031,Dhakuria,7
2024/01/11,700032,Bijoygarh,11
2024/01/11,700033,Indrani Park,19
2024/01/11,700034,Behala,12
2024/01/11,700042,Kasba,11
2024/01/11,700044,Badartala,11
2024/01/11,700046,Abinash Chaowdhury Lane,7
2024/01/11,700047,Ganguly Bagan,10
2024/01/11,700053,Kalabagan,6
2024/01/11,700054,Bengal Chemical,21
2024/01/11,700061,Jairampur,5
2024/01/11,700066,Bidhangarh,13
2024/01/11,700068,Jodhpur Park,17
2024/01/11,700069,Great Eastern Hotel,28
2024/01/11,700073,Colootola,29
2024/01/11,700075,Garfa,5
2024/01/11,700078,Haltu,9
2024/01/11,700082,Haridevpur,12
2024/01/11,700085,K.G. Bose Sarani,13
2024/01/11,700086,Baghajatin,9
2024/01/11,700088,Brace Bridge,12
2024/01/11,700095,Golf Green,13
2024/01/11,700099,Kalikapur,17
2024/01/11,700107,E.K.T,12
2024/01/11,700141,Daulatpur,6
2024/01/11,700008,Barisha,8
2024/01/11,700010,Beleghata,21
2024/01/11,700012,Bowbazar,27
2024/01/11,700015,Entally,23
2024/01/11,700017,Kidderpore,6
2024/01/11,700018,Bartala,11
2024/01/11,700021,Fort William,23
2024/01/11,700024,Garden Reach,12
2024/01/11,700072,Hindustan Building,30
2024/01/11,700135,Rajarhat,12
2024/01/11,700136,New Town,21
2024/01/11,700023,Khiddirpore,14
2024/01/11,700091,Salt Lake Sector I,16
2024/01/11,700098,Bidhan Nagar,26
2024/01/11,700105,Kankurgachi,9
2024/01/11,700106,Phool Bagan,7
2024/01/11,700108,Shyambazar,23
2024/01/11,700109,Bagbazar,11
2024/01/12,700001,B.B.D. Bagh,21
2024/01/12,700007,Esplanade,25
2024/01/12,700013,Chittaranjan Avenue,21
2024/01/12,700014,Bhowanipore,11
2024/01/12,700016,Park Street,16
2024/01/12,700019,Ballygunge,10
2024/01/12,700020,A.J.C. Bose Road,24
2024/01/12,700022,Hastings,11
2024/01/12,700025,Bhawanipore,16
2024/01/12,700026,Kalighat,12
2024/01/12,700027,Alipore,9
2024/01/12,700029,Dover Lane,14
2024/01/12,700031,Dhakuria,6
2024/01/12,700032,Bijoygarh,9
2024/01/12,700033,Indrani Park,13
2024/01/12,700034,Behala,17
2024/01/12,700042,Kasba,14
2024/01/12,700044,Badartala,9
2024/01/12,700046,Abinash Chaowdhury Lane,13
2024/01/12,700047,Ganguly Bagan,8
2024/01/12,700053,Kalabagan,16
2024/01/12,700054,Bengal Chemical,15
2024/01/12,700061,Jairampur,12
2024/01/12,700066,Bidhangarh,15
2024/01/12,700068,Jodhpur Park,12
2024/01/12,700069,Great Eastern Hotel,18
2024/01/12,700073,Colootola,21
2024/01/12,700075,Garfa,14
2024/01/12,700078,Haltu,18
2024/01/12,700082,Haridevpur,15
2024/01/12,700085,K.G. Bose Sarani,11
2024/01/12,700086,Baghajatin,14
2024/01/12,700088,Brace Bridge,10
2024/01/12,700095,Golf Green,9
2024/01/12,700099,Kalikapur,13
2024/01/12,700107,E.K.T,13
2024/01/12,700141,Daulatpur,13
2024/01/12,700008,Barisha,14
2024/01/12,700010,Beleghata,22
2024/01/12,700012,Bowbazar,24
2024/01/12,700015,Entally,21
2024/01/12,700017,Kidderpore,8
2024/01/12,700018,Bartala,8
2024/01/12,700021,Fort William,25
2024/01/12,700024,Garden Reach,9
2024/01/12,700072,Hindustan Building,24
2024/01/12,700135,Rajarhat,13
2024/01/12,700136,New Town,25
2024/01/12,700023,Khiddirpore,16
2024/01/12,700091,Salt Lake Sector I,14
2024/01/12,700098,Bidhan Nagar,21
2024/01/12,700105,Kankurgachi,11
2024/01/12,700106,Phool Bagan,12
2024/01/12,700108,Shyambazar,21
2024/01/12,700109,Bagbazar,11
2024/01/13,700001,B.B.D. Bagh,13
2024/01/13,700007,Esplanade,27
2024/01/13,700013,Chittaranjan Avenue,18
2024/01/13,700014,Bhowanipore,10
2024/01/13,700016,Park Street,15
2024/01/13,700019,Ballygunge,8
2024/01/13,700020,A.J.C. Bose Road,13
2024/01/13,700022,Hastings,9
2024/01/13,700025,Bhawanipore,11
2024/01/13,700026,Kalighat,13
2024/01/13,700027,Alipore,15
2024/01/13,700029,Dover Lane,12
2024/01/13,700031,Dhakuria,17
2024/01/13,700032,Bijoygarh,14
2024/01/13,700033,Indrani Park,8
2024/01/13,700034,Behala,17
2024/01/13,700042,Kasba,14
2024/01/13,700044,Badartala,5
2024/01/13,700046,Abinash Chaowdhury Lane,8
2024/01/13,700047,Ganguly Bagan,8
2024/01/13,700053,Kalabagan,10
2024/01/13,700054,Bengal Chemical,15
2024/01/13,700061,Jairampur,9
2024/01/13,700066,Bidhangarh,11
2024/01/13,700068,Jodhpur Park,7
2024/01/13,700069,Great Eastern Hotel,29
2024/01/13,700073,Colootola,16
2024/01/13,700075,Garfa,9
2024/01/13,700078,Haltu,10
2024/01/13,700082,Haridevpur,11
2024/01/13,700085,K.G. Bose Sarani,9
2024/01/13,700086,Baghajatin,11
2024/01/13,700088,Brace Bridge,12
2024/01/13,700095,Golf Green,11
2024/01/13,700099,Kalikapur,12
2024/01/13,700107,E.K.T,11
2024/01/13,700141,Daulatpur,8
2024/01/13,700008,Barisha,5
2024/01/13,700010,Beleghata,22
2024/01/13,700012,Bowbazar,25
2024/01/13,700015,Entally,14
2024/01/13,700017,Kidderpore,17
2024/01/13,700018,Bartala,7
2024/01/13,700021,Fort William,23
2024/01/13,700024,Garden Reach,12
2024/01/13,700072,Hindustan Building,20
2024/01/13,700135,Rajarhat,14
2024/01/13,700136,New Town,18
2024/01/13,700023,Khiddirpore,7
2024/01/13,700091,Salt Lake Sector I,9
2024/01/13,700098,Bidhan Nagar,16
2024/01/13,700105,Kankurgachi,11
2024/01/13,700106,Phool Bagan,8
2024/01/13,700108,Shyambazar,14
2024/01/13,700109,Bagbazar,13
2024/01/14,700001,B.B.D. Bagh,24
2024/01/14,700007,Esplanade,16
2024/01/14,700013,Chittaranjan Avenue,20
2024/01/14,700014,Bhowanipore,5
2024/01/14,700016,Park Street,18
2024/01/14,700019,Ballygunge,9
